M_SITIO;M_FECHA_DIA;FIESTA;PAYLOAD_4G;THROUGHPUT_4G;OBJETIVOCOBERTURA_Mixta Rural-Carretera;OBJETIVOCOBERTURA_Mixta Urbana-Carretera;OBJETIVOCOBERTURA_Rural;OBJETIVOCOBERTURA_Urbana;TIPO_Calidad;TIPO_Cobertura;TIPO_Reubicacion;TIPO_Trafico
d5a15865-7b2e-4261-af83-2117ec105843;30/03/2021;0;423.96;11492.89;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;31/03/2021;0;419.17;11362.62;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;1/04/2021;0;404.7;11563.18;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;2/04/2021;0;404.59;12013.92;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;3/04/2021;0;454.15;12322.26;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;4/04/2021;0;444.6;11844.49;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;5/04/2021;0;456.51;11043.69;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;6/04/2021;0;480.15;11088.02;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;7/04/2021;0;472.29;11398.13;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;8/04/2021;0;484.86;11285.61;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;9/04/2021;0;579.13;11807.38;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;10/04/2021;0;659.48;12334.46;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;11/04/2021;0;552.64;12393.69;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;12/04/2021;0;485.42;11229.21;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;13/04/2021;0;454.47;10901.45;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;14/04/2021;0;497.33;11385.27;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;15/04/2021;0;524.19;11316.0;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;16/04/2021;0;560.99;11409.05;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;17/04/2021;0;539.59;11448.79;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;18/04/2021;0;536.81;12100.26;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;19/04/2021;0;508.51;11412.32;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;20/04/2021;0;503.35;11204.6;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;21/04/2021;0;519.41;11079.47;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;22/04/2021;0;517.63;11277.05;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;23/04/2021;0;576.26;11631.66;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;24/04/2021;0;576.5;11883.23;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;25/04/2021;0;514.5;11790.55;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;26/04/2021;0;518.78;11325.44;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;27/04/2021;0;578.85;11542.21;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;28/04/2021;0;617.59;11779.19;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;29/04/2021;0;598.98;11546.45;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;30/04/2021;0;577.59;11951.73;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;1/05/2021;0;570.52;12370.45;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;2/05/2021;0;576.69;12215.19;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;3/05/2021;0;524.29;11460.55;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;4/05/2021;0;530.57;11772.73;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;5/05/2021;0;548.55;10853.87;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;6/05/2021;0;525.58;11301.81;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;7/05/2021;0;544.92;11399.04;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;8/05/2021;0;546.51;11949.53;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;9/05/2021;0;554.05;12004.82;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;10/05/2021;0;507.61;11414.5;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;11/05/2021;0;567.5;11274.98;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;12/05/2021;0;578.96;11376.62;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;13/05/2021;1;526.12;10917.65;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;14/05/2021;1;545.03;11129.31;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;15/05/2021;1;547.15;11581.93;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;16/05/2021;0;538.33;12183.83;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;17/05/2021;0;529.35;12383.43;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;18/05/2021;0;491.73;10852.3;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;19/05/2021;0;472.08;9521.64;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;20/05/2021;0;482.43;9655.5;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;21/05/2021;0;504.73;10090.13;False;False;True;False;False;False;False;True
