"M_FECHA_DIA","PAYLOAD_4G","FIESTA","PAYLOAD_4G_smoo_mean","PAYLOAD_4G_smoothed","year"
2022-04-24,1076.67,0,1076.67,1076.67,2022
2022-04-25,1176.94,0,1176.94,1176.94,2022
2022-04-26,1203.61,0,1203.61,1203.61,2022
2022-04-27,1206.15,0,1206.15,1206.15,2022
2022-04-28,1172.95,0,1172.95,1172.95,2022
2022-04-29,1263.68,0,1263.68,1263.68,2022
2022-04-30,1263.88,0,1263.88,1263.88,2022
2022-05-01,1065.04,0,1065.04,1065.04,2022
2022-05-02,1180.53,0,1180.53,1180.53,2022
2022-05-03,1239.08,0,1239.08,1239.08,2022
2022-05-04,1235.06,0,1235.06,1235.06,2022
2022-05-05,1244.16,0,1244.16,1244.16,2022
2022-05-06,1277.78,0,1277.78,1277.78,2022
2022-05-07,1345.97,0,1345.97,1345.97,2022
2022-05-08,1167.4,0,1167.4,1167.4,2022
2022-05-09,1091.03,0,1091.03,1091.03,2022
2022-05-10,1137.77,0,1137.77,1137.77,2022
2022-05-11,1208.68,0,1208.68,1208.68,2022
2022-05-12,1278.09,0,1278.09,1278.09,2022
2022-05-13,1363.63,0,1363.63,1363.63,2022
2022-05-14,1394.24,0,1394.24,1394.24,2022
2022-05-15,1144.86,0,1144.86,1144.86,2022
2022-05-16,1308.93,0,1308.93,1308.93,2022
2022-05-17,1328.98,0,1328.98,1328.98,2022
2022-05-18,1334.99,0,1334.99,1334.99,2022
2022-05-19,1313.7,0,1313.7,1313.7,2022
2022-05-20,1362.58,0,1362.58,1362.58,2022
2022-05-21,1355.63,0,1355.63,1355.63,2022
2022-05-22,1197.62,0,1197.62,1197.62,2022
2022-05-23,1335.57,0,1335.57,1335.57,2022
2022-05-24,1320.29,0,1320.29,1320.29,2022
2022-05-25,1295.53,0,1295.53,1295.53,2022
2022-05-26,1330.7,0,1330.7,1330.7,2022
2022-05-27,1417.24,0,1417.24,1417.24,2022
2022-05-28,1377.49,0,1377.49,1377.49,2022
2022-05-29,1116.21,0,1116.21,1320.29,2022
2022-05-30,1052.12,0,1291.92933333333,1320.29,2022
2022-05-31,1304.25,0,1304.25,1304.25,2022
2022-06-01,1336.4,0,1336.4,1336.4,2022
2022-06-02,1312.4,0,1312.4,1312.4,2022
2022-06-03,1359.45,0,1359.45,1359.45,2022
2022-06-04,1336.94,0,1336.94,1336.94,2022
2022-06-05,1195.64,0,1195.64,1195.64,2022
2022-06-06,1288.71,0,1288.71,1288.71,2022
2022-06-07,1270.21,0,1270.21,1270.21,2022
2022-06-08,1348.73,0,1348.73,1348.73,2022
2022-06-09,1226.61,0,1226.61,1226.61,2022
2022-06-10,1296.89,0,1296.89,1296.89,2022
2022-06-11,1315.24,0,1315.24,1315.24,2022
2022-06-12,1183.31,0,1183.31,1183.31,2022
